,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
17347,Z302G0M3,4000787030016,0,0.0,0.0,0.0,0.0,0.0,32451,35246.0,21,56251759728.0,136810351589.0
9603,Z302AYKZ,4000787030016,1,336.0,10.0,0.0,0.0,0.0,33939,55556.0,19,56100702056.0,110932080538.0
6038,S300YQB7,4000787030016,0,0.0,0.0,0.0,0.0,0.0,31784,40698.0,23,53890138688.0,130600341414.0
13992,Z3025L0M,4000787030016,1,0.0,0.0,1.0,0.0,0.0,35970,647475.0,26,24321725912.0,225794997873.0
9625,Z30251KQ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36862,63545.0,25,24210076919.0,213158482123.0
7494,S300Z61D,4000787030016,1,0.0,14.0,1.0,16.0,16.0,31497,38454.0,17,57423850016.0,104704276387.0
13643,Z304TKGV,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25136,4528.0,20,41245768152.0,138472649499.0
9605,Z302AYKZ,4000787030016,1,336.0,10.0,0.0,0.0,0.0,33916,55556.0,19,56087305944.0,110801469214.0
10632,S30117ZC,4000787030016,0,0.0,0.0,0.0,0.0,0.0,32457,30877.0,19,56246996760.0,129298479742.0
13995,Z3025L0M,4000787030016,1,0.0,0.0,1.0,0.0,0.0,35947,646418.0,23,24321448460.0,225762190078.0
8161,Z3041JA6,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28308,6198.0,25,51578098632.0,112798982338.0
11383,Z3025MC0,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36891,31154.0,22,24469297604.0,193136727972.0
18802,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30269,37764.0,23,53909156240.0,111029834606.0
18803,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30246,37764.0,23,53895348184.0,110903260719.0
20749,S30115ED,4000787030016,0,0.0,0.0,0.0,0.0,0.0,32425,35264.0,18,57985008264.0,116343403946.0
18803,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30223,37764.0,23,53883522272.0,110833580721.0
2761,S3011G1B,4000787030016,0,0.0,0.0,0.0,0.0,0.0,32431,34667.0,19,56086237384.0,113455117770.0
18805,S300VL9M,4000787030016,1,0.0,0.0,0.0,0.0,0.0,30198,37764.0,24,53865885272.0,110739314392.0
